,111,115,261,266,311,312,315,321,322,324,325,331,334,335,336,341,351,352,356,361,364,365,366,422,431,441,451,452,461,525,531,532,533,535,536,541,542,546,631,632,636,646
-270.55,0,55,4,0,2,8,3,4,13,23,8,20,0,0,2,1,28,0,1,377,0,0,0,2,0,5,3,0,4,2,6,3,2,0,0,0,0,0,10,0,0,1
-266.95,2,48,5,0,1,5,3,11,18,13,4,14,0,0,2,0,22,0,0,354,0,0,0,1,0,4,2,0,4,3,7,5,1,0,0,0,0,0,11,0,0,0
-262.45,0,23,5,0,2,5,1,10,26,15,5,15,0,0,1,3,19,1,0,333,0,0,0,1,0,4,2,0,4,2,7,4,1,0,0,0,0,0,11,0,0,0
-257.1,2,58,4,0,2,3,4,17,32,14,5,11,0,0,1,2,20,1,0,242,0,0,0,1,0,5,0,0,5,3,5,3,1,0,0,0,0,0,6,0,0,1
-253.3,1,58,0,0,2,2,4,25,44,10,5,12,0,0,0,1,22,0,0,222,0,0,0,1,0,5,1,0,4,2,6,3,2,0,0,0,0,0,5,0,0,1
-251.9,0,42,1,0,0,0,7,7,25,9,3,7,0,0,0,0,8,0,0,26,0,0,0,0,0,5,0,0,3,1,6,2,1,0,0,0,0,0,1,0,0,0
-251.3,0,89,0,0,0,0,8,1,9,4,4,6,0,0,0,1,7,0,0,10,0,0,0,0,0,4,0,0,2,1,5,1,1,0,0,0,0,0,2,0,0,0
-250.05,0,170,1,0,1,0,23,0,3,11,5,7,0,0,1,1,8,0,0,17,0,0,0,0,0,3,0,0,3,2,6,2,1,0,0,0,0,0,0,0,1,0
-248.15,0,128,1,0,0,0,9,1,17,13,0,8,0,0,1,2,12,0,0,23,0,0,0,0,0,5,0,0,5,0,9,4,1,0,0,0,0,0,3,0,1,0
-246.15,2,101,9,1,0,0,11,1,24,25,8,13,0,0,1,4,12,1,0,78,0,0,1,0,0,5,0,0,6,0,12,3,1,0,0,0,0,0,4,0,3,0
-244.5,3,111,3,0,0,0,2,0,28,12,2,6,0,0,0,0,2,0,0,26,0,0,0,0,0,0,0,0,4,0,4,2,0,0,0,0,0,0,1,0,1,0
-242.85,1,148,17,3,0,0,20,0,12,27,6,13,0,0,0,3,11,2,0,68,0,1,1,1,0,3,0,0,4,0,10,5,2,0,0,0,0,0,2,0,1,0
-238.5,0,148,16,4,0,0,24,0,14,24,8,7,0,0,0,2,9,2,0,71,0,1,1,0,0,3,1,0,6,0,11,2,1,0,0,0,0,0,2,0,1,0
-233.25,0,95,31,7,1,1,15,3,18,96,25,21,0,0,1,3,13,4,0,108,0,1,4,1,0,6,4,1,6,0,13,3,1,0,0,0,0,0,1,0,1,0
-229.75,0,125,41,8,1,0,18,3,31,42,6,16,0,0,1,4,15,3,0,142,0,1,2,1,0,7,4,0,7,0,16,3,2,0,0,0,0,0,4,1,2,0
-224.75,0,114,18,5,0,0,9,0,5,11,5,3,0,0,0,2,4,1,0,104,0,1,1,0,0,4,1,0,2,0,8,2,1,0,0,0,0,0,1,0,1,0
-218.55,0,78,44,18,1,0,5,0,7,24,7,9,0,0,0,4,11,4,0,121,0,4,5,0,0,3,7,0,3,0,15,1,1,0,0,0,0,0,2,0,1,0
-213.8,0,117,18,11,0,0,17,0,7,19,6,7,0,0,0,2,11,4,0,81,0,5,3,1,0,2,0,0,4,0,12,2,2,0,0,0,0,0,3,0,2,0
-210.25,0,53,39,17,0,0,10,1,16,42,16,10,0,0,0,4,16,9,0,151,0,3,9,0,0,5,2,0,7,0,15,1,3,0,0,1,0,0,8,0,1,0
-204.9,0,52,24,11,0,0,12,1,15,20,13,5,0,0,0,5,7,2,0,70,0,2,7,0,0,4,3,0,6,0,22,3,2,0,0,0,0,0,5,1,2,0
-199.8,0,61,9,6,3,0,10,0,16,24,10,7,0,0,0,6,6,3,0,40,0,0,3,1,1,3,0,0,6,0,15,3,1,0,0,0,0,0,6,1,3,0
-196.7,0,69,8,3,3,0,16,0,12,14,7,8,0,0,0,7,3,0,0,57,0,0,3,0,1,4,1,0,4,0,13,4,1,1,1,0,0,0,4,1,4,0
-192.95,0,72,11,8,3,0,2,0,16,27,10,9,1,0,0,6,5,0,0,61,0,0,4,0,0,3,0,0,5,0,16,4,1,0,0,0,0,0,7,1,4,0
-188.75,0,70,6,4,4,0,1,0,16,14,8,6,0,0,0,5,5,0,0,64,0,0,3,0,1,2,0,0,5,0,9,3,0,0,0,0,0,0,7,1,2,0
-184.7,0,51,13,3,3,0,2,0,19,19,14,7,0,0,0,4,3,0,0,61,0,0,2,2,0,2,1,0,3,0,12,5,2,0,0,0,0,0,5,0,2,0
-180.55,0,85,3,2,2,0,5,1,22,10,4,6,0,1,0,5,2,0,0,47,0,0,0,1,2,2,1,0,3,0,12,2,1,0,0,1,0,0,7,0,2,0
